forecast_date,horizon,target,target_date,location,output_type,output_type_id,value
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,mean,NA,926
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,mean,NA,926
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.01,0
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.025,0
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.05,0
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.1,193
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.15,495
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.2,618
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.25,717
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.3,774
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.35,822
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.4,857
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.45,904
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.5,926
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.55,948
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.6,995
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.65,1030
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.7,1078
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.75,1135
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.8,1234
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.85,1357
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.9,1659
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.95,3310
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.975,4880
2023-05-01,1,wk ahead inc flu hosp,2023-05-08,US,quantile,0.99,7399
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.01,0
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.025,0
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.05,0
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.1,0
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.15,0
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.2,283
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.25,477
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.3,601
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.35,701
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.4,784
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.45,858
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.5,926
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.55,995
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.6,1069
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.65,1151
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.7,1250
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.75,1372
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.8,1567
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.85,2207
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.9,3228
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.95,4884
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.975,7365
2023-05-01,2,wk ahead inc flu hosp,2023-05-15,US,quantile,0.99,8239
